Sintoma 1,Sintoma 2,Doença Associada
dor no peito,aperto no tórax,Infarto agudo do miocárdio
dor no peito,suor frio,Infarto agudo do miocárdio
dor no peito,náusea,Infarto agudo do miocárdio
dor no peito,irradia para o braço,Infarto agudo do miocárdio
dor no peito,irradia para a mandíbula,Infarto agudo do miocárdio
falta de ar,esforço físico,Angina
falta de ar,dor no peito,Angina
falta de ar,ao deitar,Insuficiência cardíaca
inchaço nos tornozelos,ganho de peso,Insuficiência cardíaca
cansaço constante,fadiga,Insuficiência cardíaca
palpitações,tontura,Arritmia
pressão alta,dor de cabeça,Hipertensão arterial
tosse seca,falta de ar,Insuficiência cardíaca
dor torácica leve,estresse,Angina estável
desconforto no peito,aperto,Angina estável
sudorese,náusea,Infarto agudo do miocárdio
falta de ar,subir escadas,Angina
dor no peito esquerdo,suor frio,Infarto agudo do miocárdio
dor no peito,persistente,Angina estável
edema,tornozelos,Insuficiência cardíaca
