frase,situacao
sinto dor no peito e falta de ar,alto risco
tive um leve incômodo nas costas,baixo risco
aperto no tórax ao fazer esforço,alto risco
cansaço leve após correr 5km,baixo risco
dor que irradia para o braço esquerdo,alto risco
tosse seca ocasional,baixo risco
suor frio e náusea repentinos,alto risco
pequena tontura ao levantar rápido,baixo risco
falta de ar ao subir escadas,alto risco
dor de cabeça leve e passageira,baixo risco
palpitações intensas e tontura,alto risco
leve dor muscular pós-treino,baixo risco
pressão muito alta e dor no peito,alto risco
mal-estar leve sem dor torácica,baixo risco
desmaio súbito durante atividade,alto risco
estou ansioso e com dor leve,baixo risco
dor no peito persistente com esforço,alto risco
resfriado com coriza,baixo risco
falta de ar ao deitar e tosse noturna,alto risco
enjoo leve após comer,baixo risco
sudorese intensa e aperto no peito,alto risco
desconforto leve no ombro,baixo risco
dor torácica com irradiação para mandíbula,alto risco
cansaço constante mas sem dor,baixo risco
dor forte no peito e tontura,alto risco
pequena dor lombar,baixo risco
opressão torácica e falta de ar,alto risco
cefaleia leve por estresse,baixo risco
náusea e dor no peito,alto risco
tontura leve após virar rápido,baixo risco
aperto no tórax e suor frio,alto risco
fadiga leve no fim do dia,baixo risco
pressão alta e dor de cabeça intensa,alto risco
disposição reduzida sem outros sintomas,baixo risco
dor no peito ao caminhar rápido,alto risco
dor leve no pescoço,baixo risco
falta de ar intensa e palidez,alto risco
dor muscular pós-academia,baixo risco
palpitações e falta de ar,alto risco
pequeno incômodo no tornozelo,baixo risco
